fator_ponderacao,sexo,faixa_idade,estado,municipio_condicao,regiao,classe_economica,alfabetizado,escolaridade,grau_escolaridade,grau_instrucao_chefe_familia,raca,religiao,orientacao_politica_esquerda_direita_centro,origem_agua_domicilio,condicao_trecho_rua_domicilio,nivel_preocupacao_meio_ambiente,conhecimento_aquecimento_global,associacao_aquecimento_global,opiniao_aquecimento_global_ocorrendo,causa_principal_aquecimento_global,percepcao_diminuicao_chuvas,percepcao_aumento_chuvas,percepcao_aumento_desastres_ambientais,percepcao_aumento_poluicao_ar,percepcao_aumento_temperatura,percepcao_aumento_conta_energia,percepcao_aumento_preco_alimentos,acha_diminuicao_chuvas_por_aquecimento,acha_aumento_chuvas_por_aquecimento,acha_mais_desastres_por_aquecimento,acha_aumento_poluicao_por_aquecimento,acha_aumento_temperatura_por_aquecimento,acha_aumento_conta_energia_por_aquecimento,acha_aumento_preco_alimentos_por_aquecimento,opiniao_sobre_visao_cientistas_aquecimento,percepcao_prejuizo_geracoes_futuras,percepcao_prejuizo_pessoal_familia,opniao_meio_ambiente_ou_economia,principal_contribuidor_resolucao_mudancas_climaticas,segundo_contribuidor_resolucao_mudancas_climaticas,terceiro_contribuidor_resolucao_mudancas_climaticas,costuma_separar_lixo_reciclagem,utiliza_energia_solar_ou_nao_poluente,evita_produtos_prejudiciais_ambiente,participou_manifestacao_mudanca_climatica,votou_politico_propostas_meio_ambiente,doacao_instituicoes_meio_ambiente,compartilhou_info_defesa_meio_ambiente,ouviu_falar_queimadas_amazonia,opiniao_causa_queimadas_amazonia,primeiro_responsavel_queimadas_amazonia,segundo_responsavel_queimadas_amazonia,terceiro_responsavel_queimadas_amazonia,percepcao_mudanca_queimadas_amazonia_10anos,opiniao_desmatamento_prejudica_vida_local,opiniao_desmatamento_ameaca_clima_planeta,opiniao_desmatamento_prejudica_imagem_brasil,opiniao_desmatamento_prejudica_comercio_brasil,opiniao_desmatamento_necessario_economia,opiniao_criacao_ministerio_povos_originarios,opiniao_demarcacao_terras_indigenas,opiniao_indios_protegem_florestas,opiniao_financiamento_externo_preservacao_amazonia,comparacao_governo_lula_bolsonaro_meio_ambiente,informacao_principalmente_tv_aberta,informacao_principalmente_jornal_revista_impressos,informacao_principalmente_sites_internet,informacao_principalmente_redes_sociais,informacao_principalmente_radio,informacao_principalmente_whatsapp,informacao_principalmente_tv_paga,informacao_principalmente_conversas_com_outros,informacao_desmatamento_tv_aberta,informacao_desmatamento_jornal_revista_impressos,informacao_desmatamento_sites_internet,informacao_desmatamento_redes_sociais,informacao_desmatamento_radio,informacao_desmatamento_whatsapp,informacao_desmatamento_tv_paga,informacao_desmatamento_conversas_com_outros,uso_internet_ultimos_3_meses,uso_internet_computador_mesa_ultimos_3_meses,uso_internet_notebook_ultimos_3_meses,uso_internet_tablet_ultimos_3_meses,uso_internet_celular_ultimos_3_meses,uso_internet_videogame_ultimos_3_meses,uso_internet_televisao_ultimos_3_meses,tipo_conexao_internet_celular_3G_4G,tipo_conexao_internet_celular_wifi,,,,,,,,
0.817181,Masculino,45 a 59 anos,MG,Interior,Sudeste,B2,Sim,2ª série do Ensino Médio,Colegial,Médio completo/ Superior incompleto,Parda,Católica Apostólica Romana,Não respondeu,Rede Geral de distribuição,Asfaltada/Pavimentada,Muito preocupado(a),Um pouco,FUTURO DOS MEUS FILHOS,Sim,Causado principalmente pela ação humana,Não,Sim,Sim,Sim,Sim,Não,Sim,,Não,Não,Não,Sim,,Não,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Os governos,Os cidadãos,Empresas e indústrias,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Por ação humana,Garimpeiros,Madeireiros,Pecuaristas e criadores de animais,Aumentaram,Concorda totalmente,Concorda em parte,Concorda totalmente,Discorda totalmente,Discorda totalmente,Discorda totalmente,Discorda totalmente,Discorda totalmente,Discorda totalmente,Pior,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,,Sim,Sim,Sim,,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,,,,,,,,
1.025108,Masculino,25 a 34 anos,MG,Periferia,Sudeste,B1,Sim,Superior completo,Superior,Superior completo,Parda,"Protestante evangélico e pentecostal (Igreja Universal, Quadrangular, Batista, Adventista, etc.)",No centro,Rede Geral de distribuição,Asfaltada/Pavimentada,Preocupado(a),Muito,SANEAMENTO PUBLICO,Sim,Causado principalmente pela ação humana,Não,Sim,Sim,Sim,Sim,Sim,Sim,,Não,Sim,Não,Sim,Não,Não,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Mais ou menos,"Promover o crescimento econômico e a geração de empregos, mesmo que isso prejudique o meio ambiente",Os cidadãos,Os governos,As ONGs de meio ambiente,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Por ação humana,Pecuaristas e criadores de animais,Madeireiros,Garimpeiros,Estão iguais,Discorda totalmente,Discorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,Concorda em parte,Discorda totalmente,Discorda totalmente,Melhor,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,,,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,,,,,,,,
0.846675,Feminino,35 a 44 anos,MG,Capital RM,Sudeste,B2,Sim,Superior completo,Superior,Superior completo,Parda,"Protestante evangélico e pentecostal (Igreja Universal, Quadrangular, Batista, Adventista, etc.)",Mais à esquerda,Rede Geral de distribuição,Asfaltada/Pavimentada,Muito preocupado(a),Muito,DESMATAMENTO,Sim,Causado principalmente pela ação humana,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Não,Não sabe,Sim,Sim,Os cientistas discordam muito entre eles sobre se o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Os cidadãos,As ONGs de meio ambiente,Os governos,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Por ação humana,Grandes produtores rurais,Madeireiros,Garimpeiros,Aumentaram,Concorda totalmente,Concorda em parte,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda em parte,Concorda em parte,Concorda totalmente,Concorda totalmente,Melhor,Não,Não,Sim,Não,Não respondeu,Sim,Não,Sim,,,Sim,,,Não sabe,,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,,,,,,,,
2.651473,Feminino,60 anos ou +,MG,Periferia,Sudeste,DE,Sim,4ª série (ou 5º ano do Fundamental,Analfabeto/Saber ler/Primário,Fundamental I completo/Fundamental II incompleto,Não respondeu,"Protestante evangélico e pentecostal (Igreja Universal, Quadrangular, Batista, Adventista, etc.)",Não sabe,Rede Geral de distribuição,Asfaltada/Pavimentada,Um pouco preocupado(a),Um pouco,NÃO SABE,Sim,Causado principalmente pela ação humana,Não sabe,Sim,Sim,Sim,Não,Não,Sim,,Sim,Sim,Sim,,,Sim,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Nada,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Os governos,Empresas e indústrias,Os cidadãos,Sim,Não,Não,Não,Não,Sim,Não,Não,Por ação humana,Outros responsáveis,,,Diminuíram,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Não sabe,Sim,Não,Não,Não,Não,Não,Não respondeu,Não,Não,,,,,,,,Não,,,,,,,,,,,,,,,,
1.491197,Feminino,25 a 34 anos,MG,Periferia,Sudeste,C1,Sim,Superior completo,Superior,Superior completo,Parda,"Protestante evangélico e pentecostal (Igreja Universal, Quadrangular, Batista, Adventista, etc.)",No centro,Rede Geral de distribuição,Asfaltada/Pavimentada,Muito preocupado(a),Mais ou menos,DESMATAMENTO,Sim,Causado principalmente pela ação humana,Não,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Os cidadãos,Empresas e indústrias,As ONGs de meio ambiente,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Por ação humana,Pecuaristas e criadores de animais,Grandes produtores rurais,Madeireiros,Aumentaram,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,Discorda em parte,Não respondeu,Discorda em parte,Concorda em parte,Concorda em parte,Igual,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,,Não,Sim,Sim,,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,,,,,,,,
1.316916,Masculino,45 a 59 anos,MG,Capital RM,Sudeste,C1,Sim,3ª série do Ensino Médio,Colegial,Fundamental I completo/Fundamental II incompleto,Preta,"Protestante evangélico e pentecostal (Igreja Universal, Quadrangular, Batista, Adventista, etc.)",Não sabe,Rede Geral de distribuição,Asfaltada/Pavimentada,Muito preocupado(a),Muito,PROBLEMAS AMBIENTAIS,Sim,Causado principalmente pela ação humana,Não,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Não,Sim,Não,Sim,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Os governos,Empresas e indústrias,Os cidadãos,Sim,Não,Não,Sim,Não,Não,Não,Sim,Por ação humana,Pecuaristas e criadores de animais,Garimpeiros,Madeireiros,Aumentaram,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Não concorda nem discorda,Melhor,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Sim,,,,,,,,
1.702357,Feminino,35 a 44 anos,MG,Capital RM,Sudeste,DE,Sim,3ª série do Ensino Médio,Colegial,Médio completo/ Superior incompleto,Preta,Católica Apostólica Romana,Mais à direita,Rede Geral de distribuição,Terra/Cascalho,Muito preocupado(a),Mais ou menos,"DESMATAMENTO, CALOR DEMAIS",Sim,Causado principalmente pela ação humana,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Os cientistas discordam muito entre eles sobre se o aquecimento global está acontecendo,Muito,Muito,Não sabe,Empresas e indústrias,Os governos,Os cidadãos,Sim,Não,Não,Não,Não,Não,Não,Sim,Por ação humana,Madeireiros,Grandes produtores rurais,Garimpeiros,Aumentaram,Concorda totalmente,Concorda em parte,Concorda em parte,Concorda em parte,Discorda em parte,Não sabe,Discorda totalmente,Não sabe,Concorda em parte,Pior,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,,,,,,,,
0.681879,Feminino,60 anos ou +,MG,Capital RM,Sudeste,B1,Sim,3ª série do Ensino Médio,Colegial,Médio completo/ Superior incompleto,Branca,É religioso mas não segue nenhuma / Agnóstico,Mais à esquerda,Rede Geral de distribuição,Asfaltada/Pavimentada,Muito preocupado(a),Mais ou menos,QUE O POVO NÃO TEM NOÇÃO DO QUE FAZ,Sim,Causado principalmente pela ação humana,Não sabe,Não sabe,Sim,Sim,Não sabe,Não,Sim,,,Não sabe,Não sabe,,,Não sabe,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Os cidadãos,Os governos,Empresas e indústrias,Não,Não,Não,Não,Não,Não,Não,Sim,Por ação humana,Garimpeiros,Indígenas,Madeireiros,Aumentaram,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda totalmente,Discorda totalmente,Concorda em parte,Concorda totalmente,Melhor,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,,,,Sim,,Sim,,Não,,,,,,,,,,,,,,,,
0.846675,Feminino,35 a 44 anos,MG,Capital RM,Sudeste,B2,Sim,Superior completo,Superior,Médio completo/ Superior incompleto,Parda,"Kardecista, espírita",No centro,Rede Geral de distribuição,Asfaltada/Pavimentada,Preocupado(a),Um pouco,POLUIÇÃO,Sim,Ambos (Esp.),Não,Não,Sim,Sim,Sim,Sim,Sim,,,Não,Não sabe,Não sabe,Não,Não,Os cientistas discordam muito entre eles sobre se o aquecimento global está acontecendo,Mais ou menos,Mais ou menos,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Empresas e indústrias,Os cidadãos,Os governos,Sim,Não,Sim,Não,Sim,Não,Sim,Sim,Não sabe,,,,Não sabe,Concorda em parte,Concorda totalmente,Discorda totalmente,Discorda totalmente,Discorda totalmente,Discorda totalmente,Não sabe,Discorda totalmente,Concorda em parte,Não sabe,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,,,,,,,,
0.545433,Masculino,45 a 59 anos,MG,Periferia,Sudeste,A,Sim,3ª série do Ensino Médio,Colegial,Médio completo/ Superior incompleto,Branca,"Kardecista, espírita",No centro,Rede Geral de distribuição,Asfaltada/Pavimentada,Muito preocupado(a),Mais ou menos,CONSCIÊNCIA,Sim,Resultado de mudanças naturais do meio ambiente,Não,Não,Sim,Não,Sim,Sim,Sim,,,Sim,,Sim,Não,Não,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Promover o crescimento econômico e a geração de empregos, mesmo que isso prejudique o meio ambiente",Os cidadãos,Empresas e indústrias,Os governos,Sim,Sim,Não,Não,Não,Não,Não,Sim,Por ação humana,Indígenas,Organizações Não Governamentais (ONGs) de meio ambiente,Garimpeiros,Estão iguais,Discorda totalmente,Não concorda nem discorda,Discorda totalmente,Discorda totalmente,Concorda em parte,Discorda totalmente,Discorda totalmente,Discorda totalmente,Discorda totalmente,Pior,Não,Não,Sim,Não,Não,Não,Sim,Sim,,,Não,,,,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,,,,,,,,
1.641257,Feminino,45 a 59 anos,MG,Periferia,Sudeste,DE,Sim,7ª série ou 8º ano do Fundamental,Ginásio,Analfabeto/ Fundamental I incompleto,Parda,Católica Apostólica Romana,Mais à esquerda,Rede Geral de distribuição,Asfaltada/Pavimentada,Muito preocupado(a),Mais ou menos,DESTRUIÇÃO,Sim,Causado principalmente pela ação humana,Não,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Empresas e indústrias,Os cidadãos,Os governos,Não,Não,Não,Sim,Sim,Não,Não,Sim,Por ação humana,Madeireiros,Garimpeiros,Grandes produtores rurais,Aumentaram,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda em parte,Concorda totalmente,Concorda totalmente,Discorda totalmente,Melhor,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,,Não,,Sim,Não,,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Sim,,,,,,,,
0.788906,Feminino,45 a 59 anos,MG,Periferia,Sudeste,B1,Sim,Superior completo,Superior,Superior completo,Parda,Católica Apostólica Romana,Mais à esquerda,Rede Geral de distribuição,Asfaltada/Pavimentada,Muito preocupado(a),Muito,"VEM A QUESTÃO DO CALOR, CHUVAS, DESMATAMENTO, POLUIÇÃO",Sim,Causado principalmente pela ação humana,Não,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Os governos,Empresas e indústrias,Os cidadãos,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Por ação humana,Madeireiros,Garimpeiros,Pecuaristas e criadores de animais,Aumentaram,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Melhor,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,,,,,,,,
0.57411,Masculino,25 a 34 anos,MG,Periferia,Sudeste,A,Sim,3ª série do Ensino Médio,Colegial,Médio completo/ Superior incompleto,Preta,É religioso mas não segue nenhuma / Agnóstico,Não respondeu,Rede Geral de distribuição,Asfaltada/Pavimentada,Um pouco preocupado(a),Um pouco,NÃO SABE,Não,Causado principalmente pela ação humana,Não sabe,Não sabe,Sim,Não sabe,Sim,Sim,Não,,,Não sabe,,Não sabe,Não sabe,,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Mais ou menos,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Os governos,Empresas e indústrias,As ONGs de meio ambiente,Não sabe,Não,Sim,Não,Não,Sim,Não,Sim,Por ação humana,Madeireiros,Pecuaristas e criadores de animais,Grandes produtores rurais,Não sabe,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda em parte,Não concorda nem discorda,Discorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Pior,Não,Não,Não,Sim,Não,Sim,Não,Não,,,,Não,,Não,,,Sim,Não,Não,Não,Sim,Não,Não,Sim,Sim,,,,,,,,
1.364447,Feminino,35 a 44 anos,MG,Capital RM,Sudeste,C1,Sim,Superior completo,Superior,Superior completo,Branca,Católica Apostólica Romana,Mais à esquerda,Rede Geral de distribuição,Asfaltada/Pavimentada,Muito preocupado(a),Mais ou menos,DEVASTAÇÃO DA NATUREZA,Sim,Causado principalmente pela ação humana,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,,Não,Não,Não,Não sabe,Não sabe,Os cientistas discordam muito entre eles sobre se o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Os cidadãos,Empresas e indústrias,Os governos,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Por ação humana,Grandes produtores rurais,Pecuaristas e criadores de animais,Outros responsáveis,Aumentaram,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,Discorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,Discorda totalmente,Melhor,Não,Não,Não,Sim,Sim,Sim,Não,Sim,,,,Sim,Sim,Não,,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Sim,,,,,,,,
2.057791,Masculino,18 a 24 anos,MG,Periferia,Sudeste,C2,Sim,8ª série ou 9º ano do Fundamental,Ginásio,Fundamental completo/ Médio incompleto,Parda,"Protestante evangélico e pentecostal (Igreja Universal, Quadrangular, Batista, Adventista, etc.)",No centro,Rede Geral de distribuição,Terra/Cascalho,Muito preocupado(a),Mais ou menos,AQUECER,Sim,Causado principalmente pela ação humana,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Não,Não,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Empresas e indústrias,Os governos,Os cidadãos,Não,Não,Não,Não,Não,Não,Não,Sim,Por ação humana,Pecuaristas e criadores de animais,Grandes produtores rurais,Madeireiros,Aumentaram,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Igual,Não,Não,Não,Não,Não,Não,Não,Sim,,,,,,,,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,,,,,,,,
1.108654,Masculino,35 a 44 anos,MG,Interior,Sudeste,C1,Sim,3ª série do Ensino Médio,Colegial,Médio completo/ Superior incompleto,Parda,"Protestante evangélico e pentecostal (Igreja Universal, Quadrangular, Batista, Adventista, etc.)",Mais à direita,Rede Geral de distribuição,Asfaltada/Pavimentada,Muito preocupado(a),Muito,POLUIÇÃO,Sim,Causado principalmente pela ação humana,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Os cidadãos,Empresas e indústrias,Os governos,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Por ação humana,Madeireiros,Políticos,Garimpeiros,Estão iguais,Concorda em parte,Concorda totalmente,Concorda em parte,Discorda em parte,Discorda totalmente,Discorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Igual,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,,,Sim,Sim,,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,,,,,,,,
1.726007,Feminino,60 anos ou +,MG,Interior,Sudeste,DE,Sim,8ª série ou 9º ano do Fundamental,Ginásio,Fundamental I completo/Fundamental II incompleto,Branca,Católica Apostólica Romana,Não sabe,Rede Geral de distribuição,Asfaltada/Pavimentada,Preocupado(a),Mais ou menos,DESTRUIÇÃO DO MUNDO,Sim,Causado principalmente pela ação humana,Não,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Os governos,As ONGs de meio ambiente,Empresas e indústrias,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Por ação humana,Madeireiros,Pequenos agricultores,Políticos,Aumentaram,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,Concorda totalmente,Concorda totalmente,Pior,Não,Não,Não,Sim,Não,Não,Não,Sim,,,,Não,,,,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Sim,,,,,,,,
1.746663,Feminino,60 anos ou +,MG,Interior,Sudeste,C2,Sim,4ª série (ou 5º ano do Fundamental,Analfabeto/Saber ler/Primário,Médio completo/ Superior incompleto,Branca,Católica Apostólica Romana,Não respondeu,Rede Geral de distribuição,Asfaltada/Pavimentada,Um pouco preocupado(a),Nada,NÃO SABE,Sim,Resultado de mudanças naturais do meio ambiente,Não,Sim,Sim,Sim,Sim,Sim,Sim,,Não sabe,Não sabe,Sim,Sim,Sim,Sim,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",As ONGs de meio ambiente,Não sabe,,Sim,Não,Sim,Não,Não,Não,Não,Sim,Por ação humana,Garimpeiros,Políticos,Madeireiros,Não sabe,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Melhor,Não,Não,Não,Não,Não,Não,Não,Não,,,,,,,,,Não,,,,,,,,,,,,,,,,
1.651997,Masculino,25 a 34 anos,MG,Interior,Sudeste,C1,Sim,Superior completo,Superior,Superior completo,Branca,Católica Apostólica Romana,Mais à direita,Rede Geral de distribuição,Terra/Cascalho,Preocupado(a),Mais ou menos,QUEIMADAS,Sim,Causado principalmente pela ação humana,Não,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Não,Não,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Os governos,Empresas e indústrias,Os cidadãos,Sim,Não,Não,Não,Não,Não,Sim,Sim,Ambos (Esp.),,,,Não sabe,Concorda em parte,Concorda em parte,Concorda em parte,Concorda em parte,Não concorda nem discorda,Não concorda nem discorda,Concorda totalmente,Não concorda nem discorda,Discorda em parte,Pior,Não,Não,Sim,Sim,Sim,Não,Não,Não,,,Sim,Sim,Sim,,,,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Sim,,,,,,,,
1.37795,Masculino,60 anos ou +,MG,Interior,Sudeste,C2,Sim,2ª série do Ensino Médio,Colegial,Médio completo/ Superior incompleto,Branca,Católica Apostólica Romana,Mais à direita,Rede Geral de distribuição,Asfaltada/Pavimentada,Um pouco preocupado(a),Um pouco,TERRA ESTÁ ESQUENTANDO,Sim,Causado principalmente pela ação humana,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,A maior parte dos cientistas acha que o aquecimento global não está acontecendo,Muito,Nada,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Os governos,Empresas e indústrias,Os cidadãos,Sim,Não,Não,Não,Não,Não,Sim,Sim,Por ação humana,Madeireiros,Grandes produtores rurais,Políticos,Aumentaram,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Pior,Não,Sim,Sim,Não,Não,Não,Não,Sim,,Não,Não,,,,,Sim,Não,,,,,,,,,,,,,,,,
0.925327,Feminino,25 a 34 anos,MG,Interior,Sudeste,B1,Sim,Superior completo,Superior,Superior completo,Parda,"Protestante evangélico e pentecostal (Igreja Universal, Quadrangular, Batista, Adventista, etc.)",Mais à direita,Poço ou nascente,Asfaltada/Pavimentada,Preocupado(a),Muito,MUDANÇAS CLIMÁTICAS,Sim,Causado principalmente pela ação humana,Não,Sim,Sim,Sim,Não respondeu,Sim,Sim,,Sim,Não,Não,,Sim,Não,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,Não respondeu,As ONGs de meio ambiente,Empresas e indústrias,Os governos,Sim,Não,Não,Não,Não,Não,Não,Sim,Ambos (Esp.),,,,Não respondeu,Concorda totalmente,Concorda em parte,Concorda em parte,Concorda em parte,Concorda em parte,Concorda em parte,Concorda em parte,Concorda totalmente,Discorda totalmente,Pior,Não,Não,Sim,Sim,Não,Sim,Não,Sim,,,Não,Não,,Não,,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Sim,,,,,,,,
0.925327,Feminino,25 a 34 anos,MG,Interior,Sudeste,B1,Sim,Superior completo,Superior,Superior completo,Branca,Católica Apostólica Romana,Mais à esquerda,Rede Geral de distribuição,Asfaltada/Pavimentada,Muito preocupado(a),Mais ou menos,POLUIÇÃO,Sim,Causado principalmente pela ação humana,Não,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Os governos,Os cidadãos,Empresas e indústrias,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Por ação humana,Madeireiros,Garimpeiros,Pecuaristas e criadores de animais,Aumentaram,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,Melhor,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,,,,,,,,
